Event Type,C2S ID,Source,Source Port(s),Destination,Destination Port(s),Start Time (UTC),Stop Time (UTC)
c2 remote command execution nc,44841.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-09 20:11:00,2009-11-09 20:11:00
phishing email exploit/malware/trawler,44842.0,212.45.250.61,0.0,172.28.128.5,25,2009-11-09 20:15:00,2009-11-09 20:15:00
post-phishing c2 heartbeat exploit/malware/malclie,44843.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-09 20:17:00,2009-11-09 20:17:00
post-phishing c2 exploit/malware/malclient.pl,44844.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-09 20:18:00,2009-11-09 20:18:00
post-phishing c2 exploit/malware/malclient.pl,44845.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-09 20:23:00,2009-11-09 20:23:00
post-phishing c2 + tcp control channel exfil explo,44846.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-09 20:25:00,2009-11-09 20:25:00
phishing email exploit/malware/trawler,44847.0,116.70.60.210,0.0,172.28.1.5,25,2009-11-09 20:16:00,2009-11-09 20:16:00
phishing email exploit/malware/trawler,44848.0,116.70.60.210,0.0,172.28.128.5,25,2009-11-09 20:16:00,2009-11-09 20:16:00
phishing email exploit/malware/trawler,44849.0,116.70.60.210,0.0,172.28.192.5,25,2009-11-09 20:16:00,2009-11-09 20:16:00
post-phishing client compromise + malicious downlo,44850.0,172.28.219.74,0.0,116.70.60.210,80,2009-11-09 20:21:00,2009-11-09 20:21:00
post-phishing client compromise + malicious downlo,44851.0,172.28.219.74,0.0,28.133.133.90,80,2009-11-09 20:21:00,2009-11-09 20:21:00
post-phishing c2 echo,44852.0,116.70.60.210,0.0,172.28.219.74,10000,2009-11-09 20:25:00,2009-11-09 20:25:00
post-phishing tcp exfil nc,44853.0,172.28.219.74,0.0,76.166.183.26,443,2009-11-09 20:25:00,2009-11-09 20:40:00
no precursor client compromise exfil/sams_launch_v,44854.0,172.28.218.164,0.0,86.136.211.111,80,2009-11-09 23:41:00,2009-11-09 23:41:00
no precursor client compromise exfil/sams_launch_v,44855.0,172.28.218.164,0.0,28.133.133.90,80,2009-11-09 23:41:00,2009-11-09 23:41:00
c2 + tcp control channel exfil - no precursor nc,44856.0,86.136.211.111,0.0,172.28.218.164,10000,2009-11-09 23:45:00,2009-11-09 23:45:00
scan /usr/bin/nmap,44858.0,211.144.70.97,40510.0,172.28.154.10,21,2009-11-10 17:39:00,2009-11-10 17:39:00
failed attack framework-2.6/msfcli iis_nsiislog_po,44859.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-10 19:17:00,2009-11-10 19:18:00
scan /usr/bin/nmap,44860.0,42.196.162.102,26707.0,172.28.79.227,30860,2009-11-10 21:02:00,2009-11-10 21:02:00
client compromise exfil/sams_launch_vulnerable_cli,44861.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-10 02:31:00,2009-11-10 02:31:00
failed attack framework-2.6/msfcli cabrightstor_di,44862.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-10 21:08:00,2009-11-10 21:08:00
c2 remote command execution nc,44863.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-10 02:37:00,2009-11-10 02:37:00
scan /usr/bin/nmap,44864.0,19.16.150.30,59406.0,172.28.177.139,3129,2009-11-10 21:13:00,2009-11-10 21:13:00
failed attack framework-2.6/msfcli iis_nsiislog_po,44865.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-10 21:53:00,2009-11-10 21:53:00
scan /usr/bin/nmap,44866.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-10 23:02:00,2009-11-10 23:02:00
scan /usr/bin/nmap,44867.0,195.171.85.28,0.0,172.28.18.197,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44868.0,195.171.85.28,0.0,172.28.18.147,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44869.0,195.171.85.28,0.0,172.28.18.241,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44870.0,195.171.85.28,0.0,172.28.18.83,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
phishing email exploit/malware/trawler,44871.0,82.144.22.171,0.0,172.28.1.5,25,2009-11-10 08:04:00,2009-11-10 08:04:00
failed attack or scan exploit/bin/iis_nsiislog.pl,44872.0,139.69.44.14,0.0,255.255.255.255,80,2009-11-10 08:32:00,2009-11-10 08:47:00
scan /usr/bin/nmap,44873.0,195.171.85.28,0.0,172.28.18.213,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
phishing email exploit/malware/trawler,44874.0,82.144.22.171,0.0,172.28.128.5,25,2009-11-10 08:04:00,2009-11-10 08:04:00
scan /usr/bin/nmap,44875.0,195.171.85.28,0.0,172.28.18.146,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
phishing email exploit/malware/trawler,44876.0,82.144.22.171,0.0,172.28.192.5,25,2009-11-10 08:04:00,2009-11-10 08:04:00
scan /usr/bin/nmap,44877.0,195.171.85.28,0.0,172.28.18.111,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
post-phishing client compromise + malicious downlo,44878.0,172.28.131.125,0.0,82.144.22.171,80,2009-11-10 08:06:00,2009-11-10 08:06:00
scan /usr/bin/nmap,44879.0,195.171.85.28,0.0,172.28.18.68,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
post-phishing client compromise + malicious downlo,44880.0,172.28.131.125,0.0,28.133.133.90,80,2009-11-10 08:06:00,2009-11-10 08:06:00
scan /usr/bin/nmap,44881.0,195.171.85.28,0.0,172.28.18.41,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
c2+ tcp control channel exfil nc,44882.0,82.144.22.171,0.0,172.28.131.125,10000,2009-11-10 08:10:00,2009-11-10 08:18:00
scan /usr/bin/nmap,44883.0,195.171.85.28,0.0,172.28.18.59,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44884.0,195.171.85.28,0.0,172.28.18.98,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44885.0,195.171.85.28,0.0,172.28.18.174,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44886.0,195.171.85.28,0.0,172.28.18.18,1257 3128,2009-11-10 23:05:00,2009-11-10 23:06:00
scan /usr/bin/nmap,44887.0,219.160.125.33,42311.0,172.28.74.179,4899,2009-11-10 23:09:00,2009-11-10 23:10:00
scan /usr/bin/nmap,44888.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-10 23:15:00,2009-11-10 23:15:00
failed attack framework-2.6/msfcli windows_ssl_pct,44889.0,143.244.155.163,0.0,172.28.32.14,443,2009-11-10 23:48:00,2009-11-10 23:48:00
scan /usr/bin/nmap,44890.0,113.193.88.44,0.0,172.28.163.165,36242,2009-11-11 01:44:00,2009-11-11 01:44:00
client compromise exfil/sams_launch_vulnerable_cli,44891.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-10 12:00:00,2009-11-10 12:00:00
c2 remote command execution nc,44892.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-10 12:06:00,2009-11-10 12:06:00
phishing email exploit/malware/trawler,44893.0,130.149.81.31,0.0,172.28.1.5,25,2009-11-10 12:00:00,2009-11-10 12:00:00
post-phishing client compromise + malicious downlo,44894.0,172.28.6.134,0.0,130.149.81.31,80,2009-11-10 12:04:00,2009-11-10 12:04:00
post-phishing client compromise + malicious downlo,44895.0,172.28.6.134,0.0,28.133.133.90,80,2009-11-10 12:04:00,2009-11-10 12:04:00
post-phishing c2 + tcp control channel exfil nc,44896.0,130.149.81.31,0.0,172.28.6.134,10000,2009-11-10 12:09:00,2009-11-10 12:09:00
phishing email exploit/malware/trawler,44897.0,116.70.60.210,0.0,172.28.1.5,25,2009-11-10 12:12:00,2009-11-10 12:12:00
phishing email exploit/malware/trawler,44898.0,116.70.60.210,0.0,172.28.128.5,25,2009-11-10 12:12:00,2009-11-10 12:12:00
phishing email exploit/malware/trawler,44899.0,116.70.60.210,0.0,172.28.192.5,25,2009-11-10 12:12:00,2009-11-10 12:12:00
post-phishing client compromise + malicious downlo,44900.0,172.28.219.74,0.0,116.70.60.210,80,2009-11-10 12:17:00,2009-11-10 12:17:00
post-phishing client compromise + malicious downlo,44901.0,172.28.219.74,0.0,28.133.133.90,80,2009-11-10 12:17:00,2009-11-10 12:17:00
post-phishing c2 echo,44902.0,116.70.60.210,0.0,172.28.219.74,10000,2009-11-10 12:21:00,2009-11-10 12:21:00
post-phishing tcp exfil nc,44903.0,172.28.219.74,0.0,76.166.183.26,443,2009-11-10 12:21:00,2009-11-10 12:36:00
client compromise exfil/sams_launch_vulnerable_cli,44904.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-10 12:15:00,2009-11-10 12:15:00
c2 remote command execution nc,44905.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-10 12:21:00,2009-11-10 12:21:00
failed attack or scan exploit/bin/iis_nsiislog.pl,44906.0,183.17.157.196,0.0,255.255.255.255,21,2009-11-10 12:24:00,2009-11-10 12:39:00
failed attack exploit/iis-asp-overflow,44907.0,25.178.184.105,0.0,172.28.94.58,80,2009-11-10 13:22:00,2009-11-10 13:22:00
failed attack exploit/iis-asp-overflow,44908.0,25.178.184.105,0.0,,80,2009-11-10 13:22:00,2009-11-10 13:23:00
failed attack exploit/iis-asp-overflow,44909.0,25.178.184.105,0.0,172.28.6.119,80,2009-11-10 13:23:00,2009-11-10 13:23:00
phishing email exploit/malware/trawler,44912.0,116.70.60.210,0.0,172.28.1.5,25,2009-11-10 13:24:00,2009-11-10 13:25:00
phishing email exploit/malware/trawler,44913.0,116.70.60.210,0.0,172.28.128.5,25,2009-11-10 13:24:00,2009-11-10 13:25:00
phishing email exploit/malware/trawler,44914.0,116.70.60.210,0.0,172.28.192.5,25,2009-11-10 13:24:00,2009-11-10 13:25:00
post-phishing client compromise + malicious downlo,44915.0,172.28.219.74,0.0,116.70.60.210,80,2009-11-10 13:29:00,2009-11-10 13:29:00
post-phishing client compromise + malicious downlo,44916.0,172.28.219.74,0.0,28.133.133.90,80,2009-11-10 13:29:00,2009-11-10 13:29:00
post-phishing c2 echo,44917.0,116.70.60.210,0.0,172.28.219.74,10000,2009-11-10 13:33:00,2009-11-10 13:33:00
post-phishing tcp exfil nc,44918.0,172.28.219.74,0.0,76.166.183.26,443,2009-11-10 13:33:00,2009-11-10 13:48:00
client compromise exfil/sams_launch_vulnerable_cli,44930.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-10 17:42:00,2009-11-10 17:42:00
c2 remote command execution nc,44931.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-10 17:47:00,2009-11-10 17:47:00
scan /usr/bin/nmap,44932.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-11 06:22:00,2009-11-11 06:22:00
scan /usr/bin/nmap,44933.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-11 09:57:00,2009-11-11 09:57:00
scan /usr/bin/nmap,44934.0,195.171.85.28,0.0,172.28.18.197,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44935.0,195.171.85.28,0.0,172.28.18.147,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44936.0,195.171.85.28,0.0,172.28.18.241,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44937.0,195.171.85.28,0.0,172.28.18.83,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44938.0,195.171.85.28,0.0,172.28.18.213,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44939.0,195.171.85.28,0.0,172.28.18.146,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44940.0,195.171.85.28,0.0,172.28.18.111,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44941.0,195.171.85.28,0.0,172.28.18.68,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44942.0,195.171.85.28,0.0,172.28.18.41,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44943.0,195.171.85.28,0.0,172.28.18.59,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44944.0,195.171.85.28,0.0,172.28.18.98,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44945.0,195.171.85.28,0.0,172.28.18.174,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
scan /usr/bin/nmap,44946.0,195.171.85.28,0.0,172.28.18.18,1257 3128,2009-11-11 11:29:00,2009-11-11 11:30:00
failed attack framework-2.6/msfcli iis_nsiislog_po,44947.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-11 11:31:00,2009-11-11 11:31:00
failed attack framework-2.6/msfcli cabrightstor_di,44948.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-11 11:38:00,2009-11-11 11:38:00
scan /usr/bin/nmap,44949.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-11 11:54:00,2009-11-11 11:54:00
scan /usr/bin/nmap,44950.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-11 11:57:00,2009-11-11 11:57:00
scan /usr/bin/nmap,44951.0,195.171.85.28,0.0,172.28.18.197,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44952.0,195.171.85.28,0.0,172.28.18.147,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44953.0,195.171.85.28,0.0,172.28.18.241,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44954.0,195.171.85.28,0.0,172.28.18.83,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44955.0,195.171.85.28,0.0,172.28.18.213,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44956.0,195.171.85.28,0.0,172.28.18.146,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44957.0,195.171.85.28,0.0,172.28.18.111,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44958.0,195.171.85.28,0.0,172.28.18.68,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44959.0,195.171.85.28,0.0,172.28.18.41,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
failed attack exploit/iis-asp-overflow,44960.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-10 21:01:00,2009-11-10 21:01:00
scan /usr/bin/nmap,44961.0,195.171.85.28,0.0,172.28.18.59,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
scan /usr/bin/nmap,44962.0,195.171.85.28,0.0,172.28.18.98,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
failed attack exploit/iis-asp-overflow,44963.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-10 21:01:00,2009-11-10 21:01:00
scan /usr/bin/nmap,44964.0,195.171.85.28,0.0,172.28.18.174,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
failed attack exploit/iis-asp-overflow,44965.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-10 21:01:00,2009-11-10 21:01:00
scan /usr/bin/nmap,44966.0,195.171.85.28,0.0,172.28.18.18,1257 3128,2009-11-11 12:32:00,2009-11-11 12:32:00
client compromise exfil/sams_launch_vulnerable_cli,44997.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-11 01:35:00,2009-11-11 01:35:00
c2 remote command execution nc,44999.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-11 01:41:00,2009-11-11 01:41:00
failed attack or scan exploit/bin/webstar_ftp_user,45016.0,42.1.118.156,0.0,255.255.255.255,21,2009-11-11 07:26:00,2009-11-11 07:42:00
failed attack exploit/iis-asp-overflow,45017.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-11 09:19:00,2009-11-11 09:19:00
failed attack exploit/iis-asp-overflow,45018.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-11 09:19:00,2009-11-11 09:19:00
failed attack exploit/iis-asp-overflow,45019.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-11 09:19:00,2009-11-11 09:19:00
scan /usr/bin/nmap,45022.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-11 13:36:00,2009-11-11 13:36:00
scan /usr/bin/nmap,45023.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-11 13:38:00,2009-11-11 13:39:00
scan /usr/bin/nmap,45024.0,113.193.88.44,0.0,172.28.163.165,36242,2009-11-11 13:46:00,2009-11-11 13:46:00
scan /usr/bin/nmap,45026.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-11 14:03:00,2009-11-11 14:03:00
scan /usr/bin/nmap,45028.0,113.193.88.44,0.0,172.28.163.165,36242,2009-11-11 14:13:00,2009-11-11 14:13:00
scan /usr/bin/nmap,45030.0,42.196.162.102,26707.0,172.28.79.227,30860,2009-11-11 16:22:00,2009-11-11 16:22:00
scan /usr/bin/nmap,45032.0,19.16.150.30,59406.0,172.28.177.139,3129,2009-11-11 17:06:00,2009-11-11 17:06:00
scan /usr/bin/nmap,45033.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-11 20:18:00,2009-11-11 20:18:00
failed attack or scan exploit/bin/webstar_ftp_user,45034.0,42.1.118.156,0.0,255.255.255.255,21,2009-11-11 11:18:00,2009-11-11 11:33:00
no precursor client compromise exfil/sams_launch_v,45035.0,172.28.218.164,0.0,86.136.211.111,80,2009-11-11 11:30:00,2009-11-11 11:30:00
no precursor client compromise exfil/sams_launch_v,45036.0,172.28.218.164,0.0,28.133.133.90,80,2009-11-11 11:30:00,2009-11-11 11:30:00
c2 + tcp control channel exfil - no precursor nc,45037.0,86.136.211.111,0.0,172.28.218.164,10000,2009-11-11 11:34:00,2009-11-11 11:34:00
failed attack exploit/iis-asp-overflow,45038.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-11 11:57:00,2009-11-11 11:57:00
failed attack exploit/iis-asp-overflow,45039.0,25.178.184.105,0.0,172.28.28.128,80,2009-11-11 12:07:00,2009-11-11 12:07:00
failed attack exploit/iis-asp-overflow,45041.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-11 11:57:00,2009-11-11 11:57:00
failed attack exploit/iis-asp-overflow,45042.0,25.178.184.105,0.0,172.28.22.186,80,2009-11-11 12:07:00,2009-11-11 12:07:00
failed attack exploit/iis-asp-overflow,45044.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-11 11:57:00,2009-11-11 11:57:00
failed attack exploit/iis-asp-overflow,45046.0,25.178.184.105,0.0,172.28.6.119,80,2009-11-11 12:07:00,2009-11-11 12:07:00
client compromise exfil/sams_launch_vulnerable_cli,45057.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-11 13:06:00,2009-11-11 13:06:00
c2 remote command execution nc,45058.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-11 13:12:00,2009-11-11 13:12:00
failed attack or scan exploit/bin/iis_nsiislog.pl,45068.0,183.17.157.196,0.0,255.255.255.255,21,2009-11-11 13:23:00,2009-11-11 13:38:00
failed attack or scan exploit/bin/iis_nsiislog.pl,45072.0,139.69.44.14,0.0,255.255.255.255,80,2009-11-11 13:47:00,2009-11-11 14:02:00
no precursor client compromise exfil/sams_launch_v,45079.0,172.28.218.164,0.0,86.136.211.111,80,2009-11-11 14:18:00,2009-11-11 14:18:00
failed attack or scan exploit/bin/iis_nsiislog.pl,45080.0,139.69.44.14,0.0,255.255.255.255,80,2009-11-11 14:09:00,2009-11-11 14:24:00
no precursor client compromise exfil/sams_launch_v,45081.0,172.28.218.164,0.0,28.133.133.90,80,2009-11-11 14:18:00,2009-11-11 14:18:00
c2 + tcp control channel exfil - no precursor nc,45082.0,86.136.211.111,0.0,172.28.218.164,10000,2009-11-11 14:22:00,2009-11-11 14:22:00
client compromise exfil/sams_launch_vulnerable_cli,45083.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-11 16:07:00,2009-11-11 16:07:00
c2 remote command execution nc,45084.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-11 16:14:00,2009-11-11 16:14:00
failed attack framework-2.6/msfcli windows_ssl_pct,45096.0,143.244.155.163,0.0,172.28.32.14,443,2009-11-11 21:28:00,2009-11-11 21:28:00
scan /usr/bin/nmap,45097.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-11 21:48:00,2009-11-11 21:49:00
scan /usr/bin/nmap,45098.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-11 22:04:00,2009-11-11 22:04:00
failed attack framework-2.6/msfcli iis_nsiislog_po,45099.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-11 23:06:00,2009-11-11 23:06:00
scan /usr/bin/nmap,45100.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-11 23:16:00,2009-11-11 23:16:00
client compromise exfil/sams_launch_vulnerable_cli,45107.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-11 20:44:00,2009-11-11 20:44:00
c2 remote command execution nc,45108.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-11 20:49:00,2009-11-11 20:49:00
failed attack exploit/iis-asp-overflow,45109.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-11 20:59:00,2009-11-11 20:59:00
failed attack exploit/iis-asp-overflow,45111.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-11 20:59:00,2009-11-11 20:59:00
failed attack exploit/iis-asp-overflow,45113.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-11 20:59:00,2009-11-11 21:00:00
client compromise exfil/sams_launch_vulnerable_cli,45127.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-11 22:02:00,2009-11-11 22:02:00
c2 remote command execution nc,45128.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-11 22:08:00,2009-11-11 22:08:00
failed attack exploit/iis-asp-overflow,45140.0,25.178.184.105,0.0,172.28.28.128,80,2009-11-11 22:12:00,2009-11-11 22:12:00
failed attack exploit/iis-asp-overflow,45141.0,25.178.184.105,0.0,172.28.22.186,80,2009-11-11 22:12:00,2009-11-11 22:12:00
failed attack exploit/iis-asp-overflow,45142.0,25.178.184.105,0.0,172.28.6.119,80,2009-11-11 22:12:00,2009-11-11 22:12:00
failed attack exploit/iis-asp-overflow,45145.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-11 22:40:00,2009-11-11 22:40:00
failed attack exploit/iis-asp-overflow,45146.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-11 22:40:00,2009-11-11 22:40:00
failed attack exploit/iis-asp-overflow,45147.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-11 22:40:00,2009-11-11 22:40:00
failed attack framework-2.6/msfcli windows_ssl_pct,45181.0,143.244.155.163,0.0,172.28.32.14,443,2009-11-12 03:00:00,2009-11-12 03:00:00
client compromise exfil/sams_launch_vulnerable_cli,45182.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-12 09:21:00,2009-11-12 09:21:00
scan /usr/bin/nmap,45183.0,219.160.125.33,42311.0,172.28.74.179,4899,2009-11-12 05:00:00,2009-11-12 05:00:00
c2 remote command execution nc,45184.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-12 09:27:00,2009-11-12 09:27:00
failed attack framework-2.6/msfcli windows_ssl_pct,45185.0,143.244.155.163,0.0,172.28.32.14,443,2009-11-12 06:45:00,2009-11-12 06:45:00
scan /usr/bin/nmap,45186.0,113.193.88.44,0.0,172.28.163.165,36242,2009-11-12 09:06:00,2009-11-12 09:06:00
scan /usr/bin/nmap,45187.0,42.196.162.102,26707.0,172.28.79.227,30860,2009-11-12 09:54:00,2009-11-12 09:54:00
scan /usr/bin/nmap,45188.0,19.16.150.30,59406.0,172.28.177.139,3129,2009-11-12 10:56:00,2009-11-12 10:56:00
client compromise exfil/sams_launch_vulnerable_cli,45189.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-12 11:00:00,2009-11-12 11:00:00
c2 remote command execution nc,45190.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-12 11:06:00,2009-11-12 11:06:00
failed attack or scan exploit/bin/iis_nsiislog.pl,45191.0,183.17.157.196,0.0,255.255.255.255,21,2009-11-12 12:01:00,2009-11-12 12:16:00
client compromise exfil/sams_launch_vulnerable_cli,45192.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-12 12:15:00,2009-11-12 12:15:00
c2 remote command execution nc,45193.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-12 12:20:00,2009-11-12 12:20:00
failed attack or scan exploit/bin/webstar_ftp_user,45194.0,42.1.118.156,0.0,255.255.255.255,21,2009-11-12 13:29:00,2009-11-12 13:44:00
break-DNS_1_exploit echo,45197.0,16.16.174.174,0.0,172.28.10.6,23,2009-11-12 13:57:00,2009-11-12 13:57:00
noisy-blackhole_exploit echo,45200.0,16.16.174.174,0.0,172.28.10.6,23,2009-11-12 14:33:00,2009-11-12 14:33:00
router-redirect /home/administrator/attack-scripts,45204.0,192.168.61.66,0.0,255.255.255.255,0,2009-11-12 14:42:00,2009-11-12 14:42:00
break-DNS_1 /home/administrator/attack-scripts/sdu,45206.0,255.255.255.255,0.0,255.255.255.255,53,2009-11-12 13:58:00,2009-11-12 13:58:00
noisy-blackhole_64-127 /home/administrator/attack-,45207.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-12 14:33:00,2009-11-12 14:33:00
router-rewrite /home/administrator/attack-scripts/,45213.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-12 14:52:00,2009-11-12 14:54:00
noisy-blackhole_exploit echo,45219.0,16.16.174.174,0.0,172.28.10.6,23,2009-11-12 16:35:00,2009-11-12 16:35:00
noisy-blackhole_64-127 /home/administrator/attack-,45220.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-12 16:35:00,2009-11-12 16:35:00
router-rewrite /home/administrator/attack-scripts/,45221.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-12 16:45:00,2009-11-12 16:47:00
router-redirect /home/administrator/attack-scripts,45222.0,192.168.61.66,0.0,255.255.255.255,0,2009-11-12 16:54:00,2009-11-12 16:54:00
break-DNS_1_exploit echo,45223.0,16.16.174.174,0.0,172.28.10.6,23,2009-11-12 17:16:00,2009-11-12 17:16:00
break-DNS_1 /home/administrator/attack-scripts/sdu,45225.0,255.255.255.255,0.0,255.255.255.255,53,2009-11-12 17:16:00,2009-11-12 17:16:00
scan /usr/bin/nmap,45231.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-12 13:34:00,2009-11-12 13:34:00
failed attack framework-2.6/msfcli cabrightstor_di,45232.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-12 13:38:00,2009-11-12 13:38:00
scan /usr/bin/nmap,45233.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-12 13:40:00,2009-11-12 13:40:00
scan /usr/bin/nmap,45234.0,122.201.178.72,40045.0,172.28.42.98,64142:64353,2009-11-12 13:41:00,2009-11-12 13:41:00
scan /usr/bin/nmap,45235.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-12 15:29:00,2009-11-12 15:29:00
scan /usr/bin/nmap,45236.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-12 15:53:00,2009-11-12 15:53:00
